CaseNo,CaseYr,Address,DateOpened,CaseType,Status,StatusDate,Closed,parcelId,lat,lng
19601509-2,2014,1509 VERSAILLES RD,2014-10-10,Housing,Complaint Received,2014-10-10,False,04040232,-84.4483126103929,38.0469206741569
14680153#17-2,2014,153 PATCHEN DR,2014-10-10,Housing,Complaint Received,2014-10-10,False,10025660,-84.4561075884688,38.00306136731
06381541,2014,1541 ELIZABETH ST,2014-10-10,Housing,Closed Out,2015-02-06,True,13229401,-84.4479453994927,38.0497451022185
26493902,2014,3902 LAUREN WAY,2014-10-10,Housing,Complaint Received,2014-10-10,False,38021100,-84.5070953406064,38.0873316410243
30400468-3,2014,468 SILVER MAPLE WAY,2014-10-10,Housing,Housing w/Civil Penalty,2015-01-23,False,14796100,-84.485833032654,38.0496982554282
13020321S,2012,321 MERINO ST,2012-09-06,Housing,Closed Out,2014-10-10,True,12008700,-84.508329464545,38.0471931619439
08861904S,2013,1904 HARRODSBURG RD,2013-04-17,Housing,Closed Out,2014-10-10,True,38071340,-84.5060817323421,38.0868778107133
08861900S,2013,1900 HARRODSBURG RD,2013-04-17,Housing,Closed Out,2014-10-10,True,38071320,-84.5058836688303,38.0869542613503
15033202S,2014,3202 PIMLICO PKWY,2014-04-08,Housing,Closed Out,2014-11-11,True,20276717,-84.4580028191368,37.9841349257747
16502929S,2014,2929 RUNNYMEDE WAY,2014-06-18,Housing,Closed Out,2014-11-14,True,16495950,-84.5338318091343,38.0068588869536
14830123S,2014,123 PENMOKEN DR,2014-06-26,Housing,Reinspection,2015-01-29,False,20977800,-84.5146452633443,38.0109559717318
14820125S,2014,125 PENMOKEN PARK,2014-06-26,Housing,Reinspection,2015-01-29,False,22372750,-84.5373373972893,38.0502801160379
04890496S,2014,496 CROMWELL WAY,2014-07-24,Housing,Closed Out,2014-10-10,True,38092930,-84.5227429702613,37.9648456671653
24760417S,2014,417 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-10-10,True,20111340,-84.5448641028753,37.9816367058397
24760500S,2014,500 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-11-11,True,20066460,-84.5520189544534,37.9839206017695
24760501S,2014,501 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-11-11,True,20066200,-84.5496875968349,37.9833914066766
24760505S,2014,505 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-11-11,True,20066460,-84.5520189544534,37.9839206017695
24760509S,2014,509 STONE CREEK DR,2014-08-04,Housing,Closed Out,2014-11-11,True,20066650,-84.5502223081253,37.9836880284823
24760517S,2014,517 STONE CREEK DR,2014-08-04,Housing,Reinspection,2015-01-29,False,20066580,-84.5507364205056,37.9838960868831
14820102S,2014,102 PENMOKEN PARK,2014-08-04,Housing,Reinspection,2015-01-29,False,21388400,-84.5315537659616,38.0497818880434
13971847S2,2014,1847 NICHOLASVILLE RD,2014-08-04,Housing,Closed Out,2014-11-14,True,11748655,-84.5292955600662,38.07784068938
18963413-2,2014,3413 TISHOFF CT,2014-09-03,Housing,Closed Out,2014-10-10,True,23539700,-84.5467153784648,37.9905017676166
16060408S,2014,408 RIDGEWAY RD,2014-09-29,Housing,Closed Out,2014-10-10,True,15955200,-84.4825140045978,38.0224296287938
07202077#3,2014,2077 FONTAINE RD #3,2014-10-06,Housing,Closed Out,2015-01-13,True,38036800,-84.4063384432902,38.0178999333173
19440554,2014,554 N UPPER ST,2014-10-07,Housing,Closed Out,2014-11-25,True,13293200,-84.4838920967967,38.0572157477438
03110433-5,2014,433 CAMPBELL ST,2014-10-07,Housing,Notice/Order Issued,2014-10-10,False,12878350,-84.5148953648394,38.0525859058771
16920605S,2013,605 SEVERN WAY,2013-09-16,Housing,Reinspection,2015-01-29,False,14087425,-84.5358171636786,38.006935075095
16920609S,2013,609 SEVERN WAY,2013-09-16,Housing,Reinspection,2015-01-29,False,26068050,-84.5421664718902,38.0103717397233
19601401S2,2013,1401 VERSAILLES RD,2013-10-28,Housing,Reinspection,2015-01-29,False,12833575,-84.5197108109786,38.0531848609318
05900405S,2014,405 DUDLEY RD,2014-01-29,Housing,Reinspection,2015-01-29,False,14620900,-84.4819707609164,38.0223622896024
04913900-3930S,2014,3900-3930 CROSBY DR,2014-02-21,Housing,Closed Out,2014-11-14,True,14484150,-84.4852974812963,37.9735747083639
36611204S,2014,1204 KANNAPOLIS PL,2014-04-05,Housing,Reinspection,2015-01-29,False,20104250,-84.4176243963581,38.0090233360733
36611209S,2014,1209 KANNAPOLIS PL,2014-04-08,Housing,Reinspection,2015-01-29,False,17244000,-84.521554162345,38.0595874720625
36611201S,2014,1201 KANNAPOLIS PL,2014-04-09,Housing,Reinspection,2015-01-29,False,20104340,-84.4170696723406,38.008762050676
36611205S,2014,1205 KANNAPOLIS PL,2014-04-09,Housing,Reinspection,2015-01-29,False,20104330,-84.4173797640675,38.0085287820158
16920549S,2014,549 SEVERN WAY,2014-06-18,Housing,Reinspection,2015-01-29,False,12529350,-84.5329876883276,38.007366373782
16920505S,2014,505 SEVERN WAY,2014-06-18,Housing,Reinspection,2015-01-29,False,15668762,-84.5301259563443,38.0063264707647
26644321S,2014,4321 SOUTHMOOR PARK,2014-06-24,Housing,Reinspection,2014-10-10,False,20101290,-84.573972299474,37.9877843001628
26644309S,2014,4309 SOUTHMOOR PARK,2014-06-24,Housing,Closed Out,2014-11-14,True,20098650,-84.5748012742854,37.9860783830629
26644301S,2014,4301 SOUTHMOOR PARK,2014-06-24,Housing,Closed Out,2014-11-14,True,20098630,-84.574673120599,37.9864326338867
26644300S,2014,4300 SOUTHMOOR PARK,2014-06-24,Housing,Closed Out,2014-11-14,True,20098750,-84.5741549259751,37.986340711413
26534301S,2014,4301 SHIPTONS END,2014-06-24,Housing,Closed Out,2014-11-14,True,20098760,-84.5737714142258,37.9863156216006
11280636S,2014,636 LARAMIE DR,2014-06-24,Housing,Reinspection,2015-01-29,False,24984700,-84.5421951181693,38.0193476152083
11280601S,2014,601 LARAMIE DR,2014-06-24,Housing,Closed Out,2014-12-22,True,23745300,-84.5413174334621,38.0190273203406
14820101S,2014,101 PENMOKEN PARK,2014-08-04,Housing,Reinspection,2015-01-29,False,38031410,-84.5538866610977,38.0825787783652
35200221-3,2014,221 MOUSAS WAY,2014-08-14,Housing,Closed Out,2014-11-25,True,38018590,-84.4493188215812,38.0109884276763
16440914-4,2014,914 ROYAL AVE,2014-09-03,Housing,Housing w/Civil Penalty,2015-01-13,False,13559200,-84.4699980339836,38.0431405719122
16900547EXT,2014,547 E SEVENTH ST,2014-09-03,Housing,Appealed-Housing,2015-01-28,False,10037050,-84.4828271174035,38.0539031859993
19853446W11,2014,3446 WALLINGFORD CT,2014-08-19,Nuisance,Nuisance - Open,2014-10-30,False,20886800,-84.5471379595188,37.9887862676729
16101300W4,2014,1300 RIVER PARK CIR,2014-10-07,Nuisance,Nuisance - Open,2014-10-10,False,10476411,-84.481334638715,37.9717434046249
02031570W7,2014,1570 BLUEBIRD LN,2014-10-09,Nuisance,Nuisance - Open,2014-10-10,False,44449500,-84.5177762905347,38.0271473732076
02840124W11,2014,124 BURLEY AVE,2014-10-09,Nuisance,Nuisance - Open,2014-10-10,False,41337200,-84.5163838932078,38.0332156942527
06381485W2,2014,1485 ELIZABETH ST,2014-10-09,Nuisance,Nuisance - Open,2014-10-10,False,41982800,-84.522526372836,38.0658072647783
